timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1480499940.51,0.449606,0.673124,2.685882,1.891920,1.127349,1.284007,0.339813,-0.623432,-0.704174,0.023163,0.333881,0.987926,-3.266582,-30.955372,17.268116,,,,,,
1480499940.52,0.455576,0.691890,2.695177,1.090984,1.101602,1.401948,0.338803,-0.637994,-0.691503,0.020664,0.519509,1.298971,-3.878864,-30.515375,17.912556,,,,,,
1480499940.53,0.458623,0.706307,2.709216,0.711182,1.138662,1.517554,0.336801,-0.649029,-0.682149,0.022666,0.530544,1.289616,-3.878864,-30.515375,17.912556,,,,,,
1480499940.54,0.460858,0.721123,2.722724,0.883602,0.973451,1.441268,0.334011,-0.660228,-0.672707,-0.068172,0.706249,1.466820,-3.878864,-30.515375,17.912556,,,,,,
1480499940.55,0.462830,0.738223,2.731260,1.269532,0.620717,1.159400,0.330247,-0.672974,-0.661848,-0.122255,0.892579,1.426694,-5.917824,-29.726212,18.666149,,,,,,
1480499940.56,0.464295,0.757564,2.733959,1.594679,0.212277,0.944525,0.325327,-0.687154,-0.649602,-0.142175,1.133229,1.348195,-5.917824,-29.726212,18.666149,,,,,,
1480499940.57,0.463151,0.776497,2.737131,1.397010,0.089050,1.001636,0.318713,-0.700785,-0.638219,-0.208361,1.268396,1.111150,-6.823635,-29.024364,19.445248,,,,,,
1480499940.59,0.458591,0.789900,2.744622,0.715099,0.061122,0.990504,0.311613,-0.710283,-0.631186,-0.338896,1.355455,0.731802,-6.823635,-29.024364,19.445248,,,,,,
1480499940.60,0.450897,0.795954,2.755951,0.016759,0.020937,0.888778,0.304868,-0.714531,-0.629683,-0.482542,1.410180,0.546782,-7.467445,-28.366432,20.166214,,,,,,
1480499940.61,0.440870,0.796149,2.769805,-0.480846,-0.015442,0.809017,0.298480,-0.714667,-0.632582,-0.637912,1.330894,0.562117,-7.467445,-28.366432,20.166214,,,,,,
1480499940.62,0.430880,0.793379,2.784202,-0.654421,0.047978,0.720246,0.292971,-0.712728,-0.637328,-0.609316,1.239995,0.765014,-7.999408,-28.263737,20.106316,,,,,,
1480499940.63,0.423168,0.790718,2.796342,-0.504821,0.089222,0.587993,0.288825,-0.710859,-0.641295,-0.637519,1.132886,1.037871,-8.230732,-28.334465,19.912470,,,,,,
1480499940.64,0.417730,0.790262,2.804869,-0.176867,0.034749,0.464709,0.285465,-0.710537,-0.643153,-0.696613,1.061368,1.047786,-8.230732,-28.334465,19.912470,,,,,,
1480499940.65,0.413618,0.793324,2.808746,0.272410,-0.196310,0.305221,0.281942,-0.712689,-0.642326,-0.677923,1.014004,0.881020,-8.600558,-28.408350,19.649160,,,,,,
1480499940.66,0.409946,0.799877,2.807386,0.696777,-0.511395,0.119426,0.277715,-0.717270,-0.639060,-0.629216,0.981858,0.677131,-8.600558,-28.408350,19.649160,,,,,,
1480499940.67,0.406206,0.808926,2.802176,0.964691,-0.754314,0.001265,0.272747,-0.723546,-0.634106,-0.589733,0.974355,0.459881,-8.637188,-28.200928,19.929880,,,,,,
1480499940.68,0.401039,0.819185,2.795651,1.061468,-0.983781,-0.000612,0.266555,-0.730590,-0.628639,-0.548308,0.987029,0.320488,-8.637188,-28.200928,19.929880,,,,,,
1480499940.69,0.392831,0.829985,2.790894,1.032939,-1.116677,0.160242,0.258350,-0.737921,-0.623480,-0.536915,0.981085,0.245123,-8.288945,-27.774460,20.663155,,,,,,
1480499940.70,0.381744,0.840339,2.789967,0.867075,-1.083950,0.357578,0.248562,-0.744870,-0.619182,-0.515851,0.976544,0.268886,-8.288945,-27.774460,20.663155,,,,,,
1480499940.71,0.369086,0.848116,2.793018,0.508365,-0.925891,0.465617,0.238608,-0.750036,-0.616857,-0.441657,0.951238,0.414510,-7.919067,-27.295378,21.432314,,,,,,
1480499940.72,0.355962,0.851901,2.799153,0.094578,-0.756685,0.475985,0.229501,-0.752534,-0.617270,-0.348962,0.870881,0.579962,-7.919067,-27.295378,21.432314,,,,,,
1480499940.73,0.344064,0.851601,2.805993,-0.243543,-0.586644,0.346895,0.222217,-0.752336,-0.620170,-0.224338,0.753251,0.743384,-7.777806,-27.032356,21.814009,,,,,,
1480499940.75,0.335083,0.849136,2.811719,-0.344013,-0.382441,0.236679,0.217247,-0.750710,-0.623890,-0.198921,0.599907,1.002720,-7.742159,-27.040171,21.816998,,,,,,
1480499940.76,0.329333,0.847335,2.816818,-0.223141,-0.103529,0.256250,0.214093,-0.749519,-0.626406,-0.195768,0.598716,1.005236,-7.742159,-27.040171,21.816998,,,,,,
1480499940.77,0.327353,0.847348,2.822483,-0.082372,0.332321,0.358744,0.212849,-0.749528,-0.626820,-0.216588,0.580643,1.075612,-7.743161,-27.137808,21.695070,,,,,,
1480499940.78,0.330227,0.848511,2.829291,-0.023457,0.885454,0.455889,0.214367,-0.750297,-0.625381,-0.145657,0.582023,0.843505,-7.888694,-27.135981,21.644873,,,,,,
1480499940.79,0.337501,0.849667,2.837041,-0.076858,1.323512,0.488449,0.218623,-0.751060,-0.622987,-0.020320,0.542274,0.712022,-7.888694,-27.135981,21.644873,,,,,,
1480499940.80,0.347763,0.848866,2.844744,-0.294071,1.531003,0.388874,0.225209,-0.750531,-0.621275,-0.026906,0.541745,0.710311,-7.888694,-27.135981,21.644873,,,,,,
1480499940.81,0.357899,0.844371,2.851207,-0.618553,1.317402,0.168378,0.232675,-0.747553,-0.622114,0.046256,0.477122,0.610670,-9.074732,-27.087715,21.236725,,,,,,
1480499940.82,0.364730,0.833782,2.855453,-1.190048,0.793233,-0.217227,0.239729,-0.740478,-0.627871,0.082582,0.420303,0.492785,-9.074732,-27.087715,21.236725,,,,,,
1480499940.83,0.370092,0.812805,2.856723,-2.083485,0.585108,-0.775607,0.248657,-0.726218,-0.640919,0.098389,0.337669,0.317814,-9.635012,-27.421764,20.550102,,,,,,
1480499940.84,0.381750,0.783840,2.855108,-2.551769,1.182365,-1.153744,0.263840,-0.706004,-0.657227,0.061630,0.207774,0.123413,-9.635012,-27.421764,20.550102,,,,,,
1480499940.85,0.403445,0.754894,2.853912,-2.415725,2.191922,-1.076918,0.285940,-0.685211,-0.669869,-0.040990,-0.023666,-0.093376,-9.451736,-28.517956,19.091469,,,,,,
1480499940.86,0.430078,0.728864,2.854232,-2.173921,2.527524,-0.914439,0.311010,-0.666022,-0.678002,-0.389364,-0.920174,-0.349326,-9.497963,-29.122110,18.132421,,,,,,
1480499940.87,0.450233,0.707178,2.857161,-1.818613,1.865399,-0.586128,0.330820,-0.649691,-0.684441,-0.409174,-0.936506,-0.342887,-9.497963,-29.122110,18.132421,,,,,,
1480499940.88,0.460179,0.693784,2.860814,-0.991156,0.885429,-0.233551,0.341445,-0.639451,-0.688852,-0.339995,-1.425658,-0.558721,-9.822473,-30.058123,16.343857,,,,,,
1480499940.90,0.459201,0.694495,2.859515,0.517259,-0.558070,-0.002927,0.340570,-0.639997,-0.688778,0.142279,-1.949160,-1.201450,-9.822473,-30.058123,16.343857,,,,,,
1480499940.91,0.448224,0.711998,2.849862,2.162016,-1.906673,0.126050,0.328083,-0.653348,-0.682274,0.655788,-2.362293,-2.054222,-9.872063,-30.293339,15.872910,,,,,,
1480499940.92,0.433265,0.740817,2.834974,3.027030,-2.369992,0.231964,0.309805,-0.674891,-0.669734,2.146936,-2.052022,-3.577611,-9.624114,-29.975101,16.612139,,,,,,
1480499940.93,0.422090,0.771349,2.820356,2.948250,-1.784007,0.288184,0.293720,-0.697103,-0.654046,2.163021,-2.029810,-3.593299,-9.624114,-29.975101,16.612139,,,,,,
1480499940.94,0.420606,0.798244,2.808066,2.514334,-0.652781,0.278146,0.284989,-0.716132,-0.637132,2.093567,-1.687082,-3.603804,-9.624114,-29.975101,16.612139,,,,,,
1480499940.95,0.429963,0.821023,2.797189,2.148945,0.374087,0.222011,0.284063,-0.731844,-0.619446,1.747202,-1.420607,-2.974991,-8.852188,-28.236355,19.784853,,,,,,
1480499940.96,0.446062,0.840911,2.788157,1.844681,1.020555,0.310776,0.287662,-0.745251,-0.601541,1.207867,-1.267612,-1.816412,-8.852188,-28.236355,19.784853,,,,,,
1480499940.97,0.462179,0.857191,2.785146,1.287845,1.367474,0.566831,0.291870,-0.756007,-0.585889,0.628464,-1.068868,-0.611194,-9.229053,-27.281513,20.919775,,,,,,
1480499940.98,0.473906,0.867221,2.790829,0.470509,1.524501,0.772528,0.295245,-0.762534,-0.575649,-0.184634,-0.514260,0.531964,-9.666010,-26.904362,21.208889,,,,,,
1480499940.99,0.480906,0.870130,2.803062,-0.271287,1.525689,0.764023,0.298240,-0.764413,-0.571600,-0.187629,-0.512382,0.527914,-9.666010,-26.904362,21.208889,,,,,,
1480499941.00,0.486377,0.867719,2.817512,-0.684772,1.556086,0.630076,0.302223,-0.762856,-0.571587,-0.302040,-0.239432,0.653969,-10.784201,-26.606379,21.045071,,,,,,
1480499941.01,0.492583,0.864203,2.831743,-0.660218,1.592250,0.615076,0.307031,-0.760578,-0.572061,-0.290124,-0.030651,0.780267,-10.784201,-26.606379,21.045071,,,,,,
1480499941.02,0.498184,0.863917,2.845007,-0.309285,1.403225,0.721539,0.310334,-0.760392,-0.570523,-0.366380,0.180772,0.915768,-11.841275,-26.739893,20.294226,,,,,,
1480499941.03,0.501904,0.867026,2.855240,0.041158,0.952214,0.643249,0.311315,-0.762408,-0.567289,-0.451345,0.459673,0.908262,-11.841275,-26.739893,20.294226,,,,,,
